Calories,Protein,Carbs,Fat,C_type_Beverage,C_type_Chinese,C_type_Dessert,C_type_French,C_type_Healthy Food,C_type_Indian,C_type_Italian,C_type_Japanese,C_type_Korean,C_type_Mexican,C_type_Nepalese,C_type_Snack,C_type_Spanish,C_type_Thai,C_type_Vietnames,Veg_Non_veg,all,almonds,and,baking,basil,bay,black,boneless,bread,brown,butter,capsicum,cardamom,carrot,castor,celery,cheese,chicken,chilli,chillies,chocolate,cilantro,cinnamon,cloves,coconut,coriander,corn,cream,crushed,cucumber,cumin,curd,curry,cut,dark,dried,dry,egg,eggs,essence,fish,flakes,flour,for,fresh,garam,garlic,ghee,ginger,green,ground,honey,into,juice,lamb,leaves,lemon,masala,milk,mint,mustard,of,oil,olive,onion,onions,or,parsley,paste,pepper,pieces,potato,powder,purpose,red,refined,rice,salt,sauce,seeds,sesame,soda,soy,stock,sugar,the,thyme,to,tomato,tomatoes,turmeric,vanilla,vegetable,vinegar,water,white,whole,wine,yellow,yogurt,happy,neutral,stressed,food_id
-1.439863632,-1.022882671,-0.386598663,-0.9358563,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.326009268,0,0.211271568,0,0,0,0,0,0,0,0,0,0,0,0,0.258763941,0,0,0,0.256744594,0,0,0,0,0.297796816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153065936,0,0,0,0,0,0,0.235889619,0,0.221970322,0.438924692,0,0,0,0,0,0.13915525,0.220706221,0,0,0,0,0,0.182769938,0,0,0,0,0.192602878,0,0,0.126983494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291314689,0,0.258763941,0,0,0,0,1,0,0,1
-0.389991181,1.088509008,-1.828006459,-0.364651121,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0.18259921,0,0,0,0.176195312,0,0,0.239529218,0,0,0,0.177073626,0.171153692,0,0,0.277692108,0,0,0,0,0,0,0.257381833,0,0,0,0,0,0,0,0,0,0,0,0,0.246608399,0,0,0.215340607,0,0.132292856,0,0.155998951,0.15796563,0,0,0,0,0,0,0,0,0,0,0,0,0.120270035,0.190753455,0.155998951,0.244164854,0,0,0,0.31593126,0,0,0,0,0.16646411,0,0,0.109750148,0.397605814,0,0,0,0.260368551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
-0.989918296,-0.830937973,-1.347537194,0.587357511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0.361156785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267451765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370855426,0,0,0,0,0.331726771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299786413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205316895,0,0.260123631,0,0,0.171500073,0,0,0,0,0,0,0.25327377,0,0,0,0,0,0,0,0,0,0,0.349478765,0.367522004,0,0,0,0,0,1,3
-1.889808969,-1.022882671,-0.867067929,-0.745454574,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314075247,0,0,0,0,0.224419963,0,0,0,0,0.29096072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173464899,0,0,0.207127526,0,0.337483935,0,0,0,0.25155211,0,0,0,0.337483935,0,0,0,0,0,0,0,0,0,0.207127526,0,0,0,0,0,0,0,0.143906472,0.260674137,0,0,0,0.341400176,0,0.212523145,0,0,0,0,0,0,0,0,0.330137941,0,0,0,0,0,0,1,0,0,4
1.559771944,-0.830937973,2.496216929,0.587357511,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0.371522729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594126366,0,0.471577022,0,0,0,0.355861602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399952942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
0.509899492,-0.543020926,1.054809133,0.016152332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0.122556986,0.617079268,0,0,0,0,0.154348663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165077987,0.579466743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219753764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109876882,0,0,0,0,0.115788209,0,0.266886416,0.076339417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155562646,0,0,0.205693089,0,0,1,0,6
-0.689954738,-1.11885502,0.093870602,-0.364651121,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.29676297,0,0.301993278,0,0,0,0,0,0,0.226239001,0,0,0,0.342542215,0,0,0,0,0,0.323290803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287167127,0,0,0,0.216702148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168709143,0,0,0,0,0,0,0,0,0,0,0,0.624346096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
0.80986305,1.088509008,-0.867067929,1.15856269,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.216573573,0,0,0.275958628,0.188886925,0,0,0,0,0,0.237063241,0.247777289,0,0.2872543,0,0,0,0,0,0,0.229541993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136848296,0,0.161370699,0.163405099,0,0,0,0,0.2872543,0,0,0,0,0,0,0,0.124411474,0.197321957,0,0.252572551,0.237063241,0,0,0.163405099,0,0,0,0,0.17219622,0,0,0.11352934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195115304,0,0.243291621,0,0.305899649,0,0,1,0,8
0.059954156,-0.543020926,-1.347537194,1.539366143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.323670434,0.293203336,0,0,0,0,0,0,0,0.246752065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388892874,0,0.345361809,0.236350507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271806841,0,0,0,0,0,0,0,0,0,0,0.221222376,0,0,0,0,0,0,0,0.153699183,0,0,0,0,0,0.388892874,0,0,0,0,0,0,0,0,0.352603542,0,0,0,0,0,0,0,1,0,0,9
-0.389991181,-0.351076228,-1.155349488,0.587357511,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.313011801,0,0,0,0,0.247299378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667977736,0,0,0,0,0,0,0,0.262856103,0,0,0,0,0,0,0,0,0,0,0.21393741,0,0,0,0,0,0,0,0.148637791,0,0,0,0,0,0.376086433,0,0,0,0,0,0,0,0,0.340992127,0,0,0,0,0,0,0,0,1,0,10
